Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
KING WILLIAM COUNTY PUBLIC SCHOOLS,Virginia,VA ,KING WILLIAM CO PBLC SCHS,5102120,14582,1-Regular local school district that is NOT a component of a supervisory union
KINGDOM EAST UNIFIED UNION SCHOOL DISTRICT #64,VERMONT,VT ,Kingdom East Unified Union School District,5000421,26197,2-Local school district that is a component of a supervisory union
KINGFISHER,Oklahoma,OK ,KINGFISHER,4016560,18242,1-Regular local school district that is NOT a component of a supervisory union
KINGMAN - NORWICH,Kansas,KS ,Kingman - Norwich,2008070,14098,1-Regular local school district that is NOT a component of a supervisory union
KINGMAN UNIFIED SCHOOL DISTRICT (79598),Arizona,AZ ,Kingman Unified School District (79598),0400295,11694,1-Regular local school district that is NOT a component of a supervisory union
KINGS CANYON JOINT UNIFIED,California,CA ,Kings Canyon Joint Unified,0619700,19733,1-Regular local school district that is NOT a component of a supervisory union
KINGS CONS SD 144,Illinois,IL ,Kings Cons SD 144,1721130,21116,1-Regular local school district that is NOT a component of a supervisory union
KINGS COUNTY OFFICE OF EDUCATION,California,CA ,Kings County Office of Education,0691013,210402,1-Regular local school district that is NOT a component of a supervisory union
KINGS COUNTY ROP,California,CA ,Kings County ROP,0600077,–,9-Specialized public school district
KINGS LOCAL,Ohio,OH ,Kings Local,3905043,13568,1-Regular local school district that is NOT a component of a supervisory union
KINGS PARK CENTRAL SCHOOL DISTRICT,New York,NY ,KINGS PARK CENTRAL SCHOOL DISTRICT,3616260,34353,1-Regular local school district that is NOT a component of a supervisory union
KINGS RIVER UNION ELEMENTARY,California,CA ,Kings River Union Elementary,0619740,18368,1-Regular local school district that is NOT a component of a supervisory union
KINGSBURG JOINT UNION HIGH,California,CA ,Kingsburg Joint Union High,0619830,17975,1-Regular local school district that is NOT a component of a supervisory union
KINGSBURY PLT PUBLIC SCHOOLS,Maine,ME ,Kingsbury Plt Public Schools,2307110,–,1-Regular local school district that is NOT a component of a supervisory union
KINGSLAND PUBLIC SCHOOL DISTRICT,Minnesota,MN ,KINGSLAND PUBLIC SCHOOL DISTRICT,2700007,16076,1-Regular local school district that is NOT a component of a supervisory union
KINGSLEY AREA SCHOOLS,Michigan,MI ,Kingsley Area Schools,2620380,12258,1-Regular local school district that is NOT a component of a supervisory union
KINGSLEY-PIERSON COMM SCHOOL DISTRICT,Iowa,IA ,Kingsley-Pierson Comm School District,1915750,16668,1-Regular local school district that is NOT a component of a supervisory union
KINGSPORT,Tennessee,TN ,Kingsport,4702190,12059,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON,Oklahoma,OK ,KINGSTON,4016590,13885,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON,Massachusetts,MA ,Kingston,2506540,19535,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON 42,Missouri,MO ,KINGSTON 42,2916620,18711,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON CITY SCHOOL DISTRICT,New York,NY ,KINGSTON CITY SCHOOL DISTRICT,3616290,32415,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON COMMUNITY SCHOOL DISTRICT,Michigan,MI ,Kingston Community School District,2620400,14380,1-Regular local school district that is NOT a component of a supervisory union
KINGSTON K-14,Missouri,MO ,KINGSTON K-14,2931140,12597,1-Regular local school district that is NOT a component of a supervisory union
KINGSVILLE ISD,Texas,TX ,KINGSVILLE ISD,4825680,13929,1-Regular local school district that is NOT a component of a supervisory union
KINGSVILLE R-I,Missouri,MO ,KINGSVILLE R-I,2916660,14094,1-Regular local school district that is NOT a component of a supervisory union
KINGSWAY REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,Kingsway Regional School District,3407980,20320,1-Regular local school district that is NOT a component of a supervisory union
KINGWOOD TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Kingwood Township School District,3408010,26562,1-Regular local school district that is NOT a component of a supervisory union
KINNELON SCHOOL DISTRICT,New Jersey,NJ ,Kinnelon School District,3408040,32074,1-Regular local school district that is NOT a component of a supervisory union
KINNIKINNICK CCSD 131,Illinois,IL ,Kinnikinnick CCSD 131,1721180,15403,1-Regular local school district that is NOT a component of a supervisory union
KINSEY ELEM,Montana,MT ,Kinsey Elem,3007980,8391,1-Regular local school district that is NOT a component of a supervisory union
KINSLEY-OFFERLE,Kansas,KS ,Kinsley-Offerle,2008100,17432,1-Regular local school district that is NOT a component of a supervisory union
KINTA,Oklahoma,OK ,KINTA,4016620,16307,1-Regular local school district that is NOT a component of a supervisory union
KIONA-BENTON CITY SCHOOL DISTRICT,Washington,WA ,Kiona-Benton City School District,5304020,16656,1-Regular local school district that is NOT a component of a supervisory union
KIOWA,Oklahoma,OK ,KIOWA,4016650,19630,1-Regular local school district that is NOT a component of a supervisory union
KIOWA COUNTY,Kansas,KS ,Kiowa County,2006720,15411,1-Regular local school district that is NOT a component of a supervisory union
KIOWA COUNTY SCHOOL DISTRICT NO. RE-1,Colorado,CO ,Kiowa County School District No. Re-1,0803510,13397,1-Regular local school district that is NOT a component of a supervisory union
KIOWA COUNTY SCHOOL DISTRICT NO. RE-2,Colorado,CO ,Kiowa County School District No. Re-2,0806930,39395,1-Regular local school district that is NOT a component of a supervisory union
KIPP: COOPER NORCROSS A NEW JERSEY NONPROFIT CORPORATION,NEW JERSEY,NJ ,KIPP: Cooper Norcross A New Jersey Nonprofit Corporation,3400777,34962,1-Regular local school district that is NOT a component of a supervisory union
KIRBY SCHOOL DISTRICT,Arkansas,AR ,KIRBY SCHOOL DISTRICT,0508490,15320,1-Regular local school district that is NOT a component of a supervisory union
KIRBY SD 140,Illinois,IL ,Kirby SD 140,1721270,19647,1-Regular local school district that is NOT a component of a supervisory union
KIRBYVILLE CISD,Texas,TX ,KIRBYVILLE CISD,4825710,11814,1-Regular local school district that is NOT a component of a supervisory union
KIRBYVILLE R-VI,Missouri,MO ,KIRBYVILLE R-VI,2916710,19061,1-Regular local school district that is NOT a component of a supervisory union
KIRCHER ELEM,Montana,MT ,Kircher Elem,3015640,9630,1-Regular local school district that is NOT a component of a supervisory union
KIRKLAND ELEMENTARY DISTRICT (4480),Arizona,AZ ,Kirkland Elementary District (4480),0404170,20707,1-Regular local school district that is NOT a component of a supervisory union
KIRKSVILLE R-III,Missouri,MO ,KIRKSVILLE R-III,2916740,12425,1-Regular local school district that is NOT a component of a supervisory union
KIRKWOOD ELEMENTARY,California,CA ,Kirkwood Elementary,0619860,13970,1-Regular local school district that is NOT a component of a supervisory union
KIRKWOOD R-VII,Missouri,MO ,KIRKWOOD R-VII,2916770,16163,1-Regular local school district that is NOT a component of a supervisory union
KIRTLAND LOCAL,Ohio,OH ,Kirtland Local,3904787,14616,1-Regular local school district that is NOT a component of a supervisory union
KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,New York,NY ,KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,3604758,471517,1-Regular local school district that is NOT a component of a supervisory union
KISKI AREA SD,Pennsylvania,PA ,Kiski Area SD,4212840,18515,1-Regular local school district that is NOT a component of a supervisory union
KISMET-PLAINS,Kansas,KS ,Kismet-Plains,2008190,18199,1-Regular local school district that is NOT a component of a supervisory union
KIT CARSON SCHOOL DISTRICT NO. R-1,Colorado,CO ,Kit Carson School District No. R-1,0805040,31323,1-Regular local school district that is NOT a component of a supervisory union
KIT CARSON UNION ELEMENTARY,California,CA ,Kit Carson Union Elementary,0619890,14580,1-Regular local school district that is NOT a component of a supervisory union
KITTATINNY REGIONAL SCHOOL DISTRICT,New Jersey,NJ ,Kittatinny Regional School District,3408060,33969,1-Regular local school district that is NOT a component of a supervisory union
KITTERY PUBLIC SCHOOLS,Maine,ME ,Kittery Public Schools,2307140,22195,1-Regular local school district that is NOT a component of a supervisory union
KITTITAS SCHOOL DISTRICT,Washington,WA ,Kittitas School District,5304050,33104,1-Regular local school district that is NOT a component of a supervisory union
KITTSON CENTRAL SCHOOL DISTRICT,Minnesota,MN ,KITTSON CENTRAL SCHOOL DISTRICT,2791447,22047,1-Regular local school district that is NOT a component of a supervisory union
KLAMATH COUNTY SD,Oregon,OR ,Klamath County SD,4107020,15376,1-Regular local school district that is NOT a component of a supervisory union
KLAMATH FALLS CITY SCHOOLS,Oregon,OR ,Klamath Falls City Schools,4107080,18455,1-Regular local school district that is NOT a component of a supervisory union
KLAMATH RIVER UNION ELEMENTARY,California,CA ,Klamath River Union Elementary,0619920,163667,1-Regular local school district that is NOT a component of a supervisory union
KLAMATH-TRINITY JOINT UNIFIED,California,CA ,Klamath-Trinity Joint Unified,0619950,24488,1-Regular local school district that is NOT a component of a supervisory union
KLAWOCK CITY SCHOOL DISTRICT,Alaska,AK ,Klawock City School District,0200450,37133,1-Regular local school district that is NOT a component of a supervisory union
KLEIN ISD,Texas,TX ,KLEIN ISD,4825740,12038,1-Regular local school district that is NOT a component of a supervisory union
KLICKITAT SCHOOL DISTRICT,Washington,WA ,Klickitat School District,5304080,29967,1-Regular local school district that is NOT a component of a supervisory union
KLONDIKE ISD,Texas,TX ,KLONDIKE ISD,4825790,96669,1-Regular local school district that is NOT a component of a supervisory union
KLONDYKE ELEMENTARY DISTRICT (4223),Arizona,AZ ,Klondyke Elementary District (4223),0404200,–,1-Regular local school district that is NOT a component of a supervisory union
KNAPPA SD 4,Oregon,OR ,Knappa SD 4,4100040,18751,1-Regular local school district that is NOT a component of a supervisory union
KNEELAND ELEMENTARY,California,CA ,Kneeland Elementary,0619980,15700,1-Regular local school district that is NOT a component of a supervisory union
KNEES ELEM,Montana,MT ,Knees Elem,3015690,22200,1-Regular local school district that is NOT a component of a supervisory union
KNIGHTS FERRY ELEMENTARY,California,CA ,Knights Ferry Elementary,0620010,12044,1-Regular local school district that is NOT a component of a supervisory union
KNIGHTSEN ELEMENTARY,California,CA ,Knightsen Elementary,0620040,12656,1-Regular local school district that is NOT a component of a supervisory union
KNIPPA ISD,Texas,TX ,KNIPPA ISD,4825800,12985,1-Regular local school district that is NOT a component of a supervisory union
KNOB NOSTER R-VIII,Missouri,MO ,KNOB NOSTER R-VIII,2916830,11502,1-Regular local school district that is NOT a component of a supervisory union
KNOCH SD,Pennsylvania,PA ,South Butler County SD,4221930,18815,1-Regular local school district that is NOT a component of a supervisory union
KNOTT COUNTY,Kentucky,KY ,Knott County,2103120,16947,1-Regular local school district that is NOT a component of a supervisory union
KNOWLTON TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Knowlton Township School District,3408070,32250,1-Regular local school district that is NOT a component of a supervisory union
KNOX CITY-O'BRIEN CISD,Texas,TX ,KNOX CITY-O'BRIEN CISD,4825870,18390,1-Regular local school district that is NOT a component of a supervisory union
KNOX CO. R-I,Missouri,MO ,KNOX CO. R-I,2911280,17711,1-Regular local school district that is NOT a component of a supervisory union
KNOX COMMUNITY SCHOOL CORP,Indiana,IN ,Knox Community School Corp,1805340,15155,1-Regular local school district that is NOT a component of a supervisory union
KNOX COUNTY,Kentucky,KY ,Knox County,2103150,15928,1-Regular local school district that is NOT a component of a supervisory union
KNOX COUNTY,Tennessee,TN ,Knox County,4702220,11040,1-Regular local school district that is NOT a component of a supervisory union
KNOX WARREN SPEC ED DISTRICTS,ILLINOIS,IL ,Knox Warren Special Education Districts,1701432,–,9-Specialized public school district
KNOXVILLE COMM SCHOOL DISTRICT,Iowa,IA ,Knoxville Comm School District,1915840,25582,1-Regular local school district that is NOT a component of a supervisory union
KNOXVILLE CUSD 202,Illinois,IL ,Knoxville CUSD 202,1721390,15778,1-Regular local school district that is NOT a component of a supervisory union
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,AK ,Kodiak Island Borough School District,0200480,25598,1-Regular local school district that is NOT a component of a supervisory union
KOHLER SCHOOL DISTRICT,Wisconsin,WI ,Kohler School District,5507500,15439,1-Regular local school district that is NOT a component of a supervisory union
KOKOMO SCHOOL CORPORATION,Indiana,IN ,Kokomo School Corporation,1805370,15354,1-Regular local school district that is NOT a component of a supervisory union
KOMAREK SD 94,Illinois,IL ,Komarek SD 94,1721420,52374,1-Regular local school district that is NOT a component of a supervisory union
KONAWA,Oklahoma,OK ,KONAWA,4016710,11643,1-Regular local school district that is NOT a component of a supervisory union
KONOCTI UNIFIED,California,CA ,Konocti Unified,0620070,16721,1-Regular local school district that is NOT a component of a supervisory union
KOOTENAI DISTRICT,Idaho,ID ,KOOTENAI DISTRICT,1601740,21234,1-Regular local school district that is NOT a component of a supervisory union
KOPPERL ISD,Texas,TX ,KOPPERL ISD,4825890,15475,1-Regular local school district that is NOT a component of a supervisory union
KOSCIUSKO SCHOOL DISTRICT,Mississippi,MS ,KOSCIUSKO SCHOOL DISTRICT,2802340,13225,1-Regular local school district that is NOT a component of a supervisory union
KOUNTZE ISD,Texas,TX ,KOUNTZE ISD,4825920,14568,1-Regular local school district that is NOT a component of a supervisory union
KREBS,Oklahoma,OK ,KREBS,4016720,9000,1-Regular local school district that is NOT a component of a supervisory union
